component_name;replacement_name;comment;source_url
@ionic-native/battery-status;ionic-native;;
@ionic-native/biocatch;ionic-native;;
@ionic-native/biometric-wrapper;ionic-native;;
@ionic-native/ble;ionic-native;;
@ionic-native/blinkid;ionic-native;;
@ionic-native/blinkup;ionic-native;;
@ionic-native/bluetooth-le;ionic-native;;
@ionic-native/bluetooth-serial;ionic-native;;
@ionic-native/braintree;ionic-native;;
@ionic-native/branch-io;ionic-native;;
@ionic-native/brightness;ionic-native;;
@ionic-native/broadcaster;ionic-native;;
@ionic-native/browser-tab;ionic-native;;
@ionic-native/calendar;ionic-native;;
@ionic-native/call-directory;ionic-native;;
@ionic-native/call-log;ionic-native;;
@ionic-native/call-number;ionic-native;;
@ionic-native/camera;ionic-native;;
@ionic-native/camera-preview;ionic-native;;
@ionic-native/card-io;ionic-native;;
@ionic-native/chooser;ionic-native;;
@ionic-native/class-kit;ionic-native;;
@ionic-native/clevertap;ionic-native;;
@ionic-native/clipboard;ionic-native;;
@ionic-native/cloud-settings;ionic-native;;
@ionic-native/code-push;ionic-native;;
@ionic-native/colored-browser-tabs;ionic-native;;
@ionic-native/contacts;ionic-native;;
@ionic-native/couchbase-lite;ionic-native;;
@ionic-native/crop;ionic-native;;
@ionic-native/date-picker;ionic-native;;
@ionic-native/db-meter;ionic-native;;
@ionic-native/deeplinks;ionic-native;;
@ionic-native/device;ionic-native;;
@ionic-native/device-accounts;ionic-native;;
@ionic-native/device-feedback;ionic-native;;
@ionic-native/device-motion;ionic-native;;
@ionic-native/device-orientation;ionic-native;;
@ionic-native/diagnostic;ionic-native;;
@ionic-native/dialogs;ionic-native;;
@ionic-native/dns;ionic-native;;
@ionic-native/document-picker;ionic-native;;
@ionic-native/document-scanner;ionic-native;;
@ionic-native/document-viewer;ionic-native;;
@ionic-native/downloader;ionic-native;;
@ionic-native/email-composer;ionic-native;;
@ionic-native/estimote-beacons;ionic-native;;
@ionic-native/extended-device-information;ionic-native;;
@ionic-native/fabric;ionic-native;;
@ionic-native/facebook;ionic-native;;
@ionic-native/fcm;ionic-native;;
@ionic-native/file;ionic-native;;
